ao,code,title,where,who,summary,impact,refs,status
-980,EVT-0980BO-GIL,Guild seals standardized,REG:BRI-001,,Standardized seal glyphs and impress tools unify Krum trade contracts,"""+Contract trust""",canon/eras/00_preord_krum.md,Draft
-930,EVT-0930BO-ZIG,Ish-Atu expansion (LOC:KRM-001),LOC:KRM-001,,Major building phase expands the primary ziggurat and quay,"""+Ritual prestige""",canon/eras/00_preord_krum.md,Draft
-890,EVT-0890BO-TIN,Tin convoys peak,REG:BRI-001,,Peak tin throughput from Ord uplands fuels bronze circulation,+Bronze circulation,canon/eras/00_preord_krum.md,Draft
-845,EVT-0845BO-ASH,Ash years disrupt routes,REG:BRI-001,,"""Eruptions, storm decades scatter shipping and raise famine risk""","""-Trade, famine risk""",canon/eras/00_preord_krum.md,Draft
-820,EVT-0820BO-ABN,Archipelago abandonment accelerates,REG:BRI-001;LOC:KRM-001,,"""Ports and ritual centers vacated; diaspora, legends""",Diaspora and legends,canon/eras/00_preord_krum.md,Draft
-078,EVT-0078BO-BINDER,Henara “the Binder” proclaims the Canal-League,REG:KLR-ARC,PERS:KLL-001,"Temple oaths bind terraces and causeway ports under shared levies","Transit reliability rises; toll disputes fall","canon/entities/regions/kllrian_arc.md|canon/notes/snapshots/pre_empire_c0.md",Draft
-064,EVT-0064BO-EEL,Post-Henara raids (“eel-people”) break league convoys,REG:KLR-ARC,,"Isle raiders torch depots; terraces default to local seals","League dissolves within two flood cycles","canon/notes/snapshots/known_world_c0.md",Draft
012,EVT-0012-MEASURE,Measure-stones posted at South-Ord markets,REG:ORD-SOUTH,,"Wet/dry balances and tariff tables set beside shrine stairs","Prices converge across river towns","canon/notes/snapshots/lexicon_drift_c0.md",Draft
019,EVT-0019-NASIR-COPPER,The “Bad Copper Dockets” of the Salt Steps,REG:ORD-SOUTH,PERS:NAS-001,"Pilot-magistrate posts a landmark ruling on undergrade ingots","Metrology stones gain teeth; trust in bark-cloth ledgers rises","canon/entities/regions/ord_south_riverine_belt.md|canon/systems/metrology/index.md",Draft
028,EVT-0028-THALEN-LEAF,Thalen’s tide–Hex leafs circulate in Tau-Hi,LOC:TAU-HI,PERS:THA-001,"""Dockside almanacs link ferry times, pollen surges and Hex halos""","""Pilot lore gains written aids""","canon/entities/places/tau_hi.md|canon/systems/cosmos/index.md",Draft
047,EVT-0047-PASS-COMPACT,Kaheet hostage-surety compact formalized,REG:KAH-UP,,"Pass cantons codify winter road duties and hostage rules","Ambushes fall; tolls stabilize","canon/entities/regions/kaheet_uplands.md",Draft
088,EVT-0088-RIVER-CODE,River toll code recopied on bark-cloth,REG:ORD-SOUTH,,"Ferry chains and canal gates governed by portable ledgers","Transit times fall in flood years","canon/notes/snapshots/pre_empire_c0.md",Draft
